Year,D14C,Site
1996.372222,120.3332653,NWN
1996.372222,118.1234115,NWN
1996.372222,139.9771648,NWN
1996.372222,167.3250757,NWN
1996.527778,141.3581668,NWN
1996.527778,132.1812925,NWN
1996.527778,140.4149358,NWN
1996.744444,119.7159386,NWN
1996.744444,104.319346,NWN
1996.744444,109.7299349,NWN
1996.919444,122.14,NWN
1997.1,117.9487406,NWN
1997.1,114.4566936,NWN
1997.391667,139.8565237,NWN
1997.391667,124.7801596,NWN
1997.391667,135.6757592,NWN
1997.677778,154.9176611,NWN
1997.677778,126.6891321,NWN
1997.836111,176.4001426,NWN
1997.836111,132.5472955,NWN
1998.280556,102.9842571,NWN
1998.419444,107.9450143,NWN
1998.419444,100.3777876,NWN
1998.505556,117.3832696,NWN
1998.505556,109.9652652,NWN
1998.505556,193.9697762,NWN
1998.505556,130.7396946,NWN
1998.505556,66.40423984,NWN
1998.505556,117.698402,NWN
1998.616667,179.3858875,NWN
1998.616667,113.4450766,NWN
1998.616667,112.8106662,NWN
1998.686111,101.4551351,NWN
1998.686111,107.7025007,NWN
1998.811111,118.1317917,NWN
1998.811111,110.4381619,NWN
1998.811111,101.2199634,NWN
1998.616667,104.464696,NWN
1998.616667,108.9121229,NWN
1998.616667,115.4199963,NWN
1998.616667,179.9287334,NWN
1998.616667,104.7009316,NWN
1998.686111,116.6790769,NWN
1998.686111,119.4025383,NWN
1998.686111,112.1587149,NWN
1998.686111,126.1223935,NWN
1998.825,100.4182975,NWN
1998.825,113.5766534,NWN
1999.244444,121.9280558,NWN
1999.244444,123.6147598,NWN
1999.247222,113.9530352,NWN
1999.247222,126.1516605,NWN
1999.25,104.5672083,NWN
1999.25,111.0316985,NWN
1999.363889,115.2090401,NWN
1999.363889,118.9782059,NWN
1999.363889,124.9223716,NWN
1999.427778,112.9017049,NWN
1999.427778,112.1075897,NWN
1999.427778,118.0320995,NWN
1999.525,102.8865834,NWN
1999.525,113.0705915,NWN
1999.525,96.58539563,NWN
1999.625,104.7741247,NWN
1999.625,79.66916003,NWN
1999.625,110.9979814,NWN
1999.625,105.0653135,NWN
1999.625,98.15346498,NWN
1999.625,102.8887144,NWN
1999.730556,106.8425555,NWN
1999.730556,102.7011897,NWN
1999.730556,95.81104342,NWN
1999.730556,104.7938727,NWN
1999.730556,89.7949575,NWN
2000.730556,105.0820435,NWN
2000.388889,106.1710526,NWN
2000.388889,106.256338,NWN
2000.388889,102.4341148,NWN
2000.491667,90.26071108,NWN
2000.491667,92.77577068,NWN
2000.491667,90.481387,NWN
2000.588889,97.07677014,NWN
2000.588889,101.1358306,NWN
2000.588889,109.549114,NWN
2000.736111,99.39360009,NWN
2000.736111,86.42153992,NWN
2000.736111,167.6774864,NWN
2003.5,89.49191369,NWN
2003.5,83.24706032,NWN
2001.505556,102.8,Drydown
2001.505556,100.85,Drydown
2001.505556,113.8,Drydown
2001.586111,134.7983871,Drydown
2001.586111,146.1466053,Drydown
2001.586111,140.570527,Drydown
2001.625,104.5161942,Drydown
2001.625,101.7371024,Drydown
2001.625,109.5284102,Drydown
2001.7,99.85416417,Drydown
2001.7,89.57360314,Drydown
2001.763889,83.22481019,Drydown
2001.763889,91.12822477,Drydown
2001.763889,100.4191781,Drydown
2002.505556,111.9,Drydown
2002.505556,91.4,Drydown
2002.505556,91.2,Drydown
2002.505556,93.2,Drydown
2002.505556,107.2,Drydown
2002.505556,102.1,Drydown
2002.563889,107.6,Drydown
2002.563889,93.9,Drydown
2002.563889,104.9,Drydown
2002.563889,104.4,Drydown
2002.563889,114.1,Drydown
2002.563889,95.2,Drydown
2002.638889,95.79520764,Drydown
2002.638889,88.04599952,Drydown
2002.638889,92.80390843,Drydown
2002.638889,109.3315514,Drydown
2002.638889,98.53015149,Drydown
2002.713889,92.44070833,Drydown
2002.713889,94.30593648,Drydown
2002.713889,99.6232243,Drydown
2002.713889,103.3937358,Drydown
2002.713889,109.4452416,Drydown
2002.713889,117.89491,Drydown
2003.463889,98.7200417,Drydown
2003.463889,103.7869695,Drydown
2003.463889,96.49471513,Drydown
2003.463889,122.346538,Drydown
2003.463889,107.8771486,Drydown
2003.463889,110.1842555,Drydown
2006.536111,68.09837875,NWN
2006.644444,65.36025235,NWN
2006.644444,75.67067419,NWN
2006.644444,66.14744224,NWN
2006.836111,45.66656036,NWN
2006.836111,57.38888115,NWN
2006.836111,44.46902493,NWN
2007.388889,64.12646811,NWN
2007.388889,74.06174955,NWN
2007.388889,72.61517493,NWN
2007.738889,69.81200217,NWN
2007.738889,58.28750306,NWN
2007.738889,79.47575647,NWN
2007.852778,75.66016542,NWN
2007.852778,75.16871652,NWN
2007.852778,86.93874632,NWN
2008.311111,60.81841765,NWN
2008.311111,80.46434549,NWN
2008.311111,104.7004845,NWN
2008.691667,63.70470997,NWN
2008.691667,74.65746165,NWN
2008.691667,71.8045264,NWN
2008.855556,62.33333333,NWN
2008.855556,75.28590381,NWN
2008.855556,66.61039136,NWN
1996.5,139,Hemlock
2003.5,92.4,Hemlock
2004.583333,87.93767421,Hemlock
2004.666667,89.47336599,Hemlock
2004.75,83.90805354,Hemlock
2004.833333,85.86409635,Hemlock
2008.5,88.2,Hemlock
2009.5,90.0,NWN
2009.5,60.2,NWN
2009.5,62.7,NWN
2009.652055,66.08288167,NWN
2009.652055,69.04218312,NWN
2009.652055,67.33230242,NWN
2010.435616,62.69972528,NWN
2010.435616,61.61275377,NWN
2010.435616,61.51548752,NWN
